the_geom,Asset_ID,GI_ID,DEP_Contra,DEP_Cont_1,Row_Onsite,Project_Na,Asset_Type,Status,Asset_X_Co,Asset_Y_Co,Borough,Sewer_Type,Outfall,NYC_Waters,BBL,Secondary_,Community_,City_Counc,Assembly_D,Asset_Leng,Asset_Widt,Asset_Area,GI_Feature,Tree_Latin,Tree_Commo,Constructi,Construc_1,Program_Ar,Status_Gro
POINT (-73.92341785101512 40.64175826863007),177167,6082b,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROWB,Constructed (In Guarantee),1005503.31,173095.51,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3079320400,3079300001,317,45,58,17,6,102,Standard,No Tree,N/A,GKCI05-2A,3,Right of Way (ROW),Constructed
POINT (-73.91755199304947 40.646366220924655),177547,GS5110b,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROWGS,Constructed (In Guarantee),1007129.64,174775.79,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3079110005,3079110001,317,42,58,20,3.5,70,,,,GKCI05-2A,3,Right of Way (ROW),Constructed
POINT (-73.7358318138759 40.704680457194435),181565,1207B,CSO-PLANYC,1,ROW,South East Queens Demonstration Area 1,ROWB,Constructed (Full Maintenance),1057493.52,196121.01,Queens,Combined,JAM-005,Jamaica Bay and Tributaries,4112190028,0,413,27,33,11,4.5,49.5,Standard,No Tree,N/A,,,Right of Way (ROW),Constructed
POINT (-73.86092623384923 40.85660010954738),183554,IB321B,GXHP07-03,2,ROW,EDC HP-007 Phase 2,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1022721.89,251390.6,Bronx,Combined,HP-007,Bronx River,2043280001,0,211,13,80,10,4,40,,,,GXHP07-03,1,Right of Way (ROW),Constructed
POINT (-73.91404073459242 40.81706328753601),184100,LARH_2,GB-HPD-LACA,EX,Onsite,La Central Building A,Rainwater Harvesting,Constructed,1008043,236967,Bronx,Combined,WIB-068,East River / Open Waters,2023610026,0,201,17,0,0,0,604,,,,,,External,Constructed
POINT (-73.93771425549762 40.71076253877017),184183,K450-06SPa,GK-S-K450,OS,Onsite,Grand Street Campus,Subsurface Pipe,In Construction,1001517.8533,198232.5936,Brooklyn,Combined,NCB-015,Newtown Creek,3030160001,0,301,34,0,0,0,"2,390",,,,GI-CONS-3,1,Public Onsite,In Construction
POINT (-73.94547693841903 40.6961541414479),185238,TOMP-06SRa,GK-H-TOMP,OS,Onsite,TOMPKINS,Subsurface Storage,In Construction,999369.0708,192908.88392,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3017400001,0,303,36,0,61,20,"1,220",,,,GI-H-CONS-01,1,Public Onsite,In Construction
POINT (-73.81041993842358 40.72431031189453),186016,Q250-01RGa,GQTI10-06,OS,Onsite,I.S. 250 Q,Rain Garden,Constructed,1036797.707,203219.185,Queens,Combined,TI-010,Flushing Creek,4068260001,0,408,24,0,55,17.9,984,,,,,,Public Onsite,Constructed
POINT (-73.8245195756101 40.72240851577669),187738,IB731a,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1032890.97,202518.16,Queens,Combined,TI-010,Flushing Creek,4065840027,0,408,24,0,10,4,40,Standard,No Tree,N/A,GCTI10-4A,Package-1,Right of Way (ROW),Constructed
POINT (-74.07437030692903 40.637597387898005),188758,GR2,R043,1,Onsite,Lyons Pool,Green Roof,Constructed,963609.24,171579.06,Staten Island,MS4,55,East River / Open Waters,5004870100,0,501,49,0,0,0,"8,250",,,,,,External,Constructed
POINT (-73.99205772650332 40.60735901699229),189408,PP6111,GKOH15-04,4,ROW,DDC OH15 Phase 4,ROW Porous Concrete,90% Design Submitted,986455.3004,160553.7596,Brooklyn,Combined,OH-015,East River / Open Waters,3062630060,0,311,43,0,670,2,"1,340",,,,GKOH15-04,1,Right of Way (ROW),
POINT (-73.86560052159317 40.693191490015344),113159,1354B,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROWB,Constructed (Full Maintenance),1021520.19,191853.389,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4088440050,4088440049,409,32,38,11,5,55,Type A - Stone Columns,Maackia amurensis,Amur Maackia,53320022-02,3,Right of Way (ROW),Constructed
POINT (-73.93627324298669 40.654945400823316),172064,5031C,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROWB,Constructed (Full Maintenance),1001932.14815,177897.08633,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3048650001,0,317,41,58,16,6,96,Type D,Zelkova serrata 'Halka',Halka Zelkova,GKCI05-1A,2,Right of Way (ROW),Constructed
POINT (-73.88002384222655 40.68354278514138),99918,1538b,GK26W5-04,1,ROW,EDC 26W-005 Phase 1,ROWB,Constructed (Full Maintenance),1017525.29,188332.28,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3039310027,0,305,37,54,11,6,66,Standard,No Tree,N/A,53320022-01,1,Right of Way (ROW),Constructed
POINT (-73.90322344924455 40.755179373934176),188442,IB443b,GQBB05-03,3,ROW,OGI BB-005 (GI-DCM-TOC) Phase 3,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1011062.0665,214423.71107,Queens,Combined,BB-005,East River / Open Waters,4011600083,4011600081,401,25,0,10,5,50,Standard,No Tree,N/A,BB05-01-A,1,Right of Way (ROW),Constructed
POINT (-73.76832531574337 40.72456842919495),101851,SGS40A,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROWSGS,Constructed (Full Maintenance),1048465.2,203341.28,Queens,Combined,TI-010,Flushing Creek,4105260132,0,408,23,24,40,5.5,220,Standard,No Tree,N/A,GCTI10-02,Package-1,Right of Way (ROW),Constructed
POINT (-73.82278816439428 40.69291405510296),94428,365D,GQJA03-02,2,ROW,DDC JAM-003 Phase 2,ROWB,Constructed (Full Maintenance),1033392.63362,191773.4283,Queens,Combined,JAM-003,Jamaica Bay and Tributaries,4094620019,0,409,29,24,11,4,44,Standard,Quercus phellos,Willow Oak,GCJA03-2A,Package-1,Right of Way (ROW),Constructed
POINT (-73.93420761957778 40.66087607719736),182704,IB1110b,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (In Guarantee),1002503.67,180058.22,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3045900051,0,309,41,43,20,6,120,Type C - SW Chamber,No Tree,N/A,GKCI05-2A,1,Right of Way (ROW),Constructed
POINT (-73.8871322008996 40.846188079815875),142243,X300-01RGa,GXHP04-03,1,Onsite,C.S. 300 X,Engineered Soil Tree Pit,Constructed,1015477.4418,247586.679,Bronx,Combined,HP-004,Bronx River,2031090001,0,206,15,79,0,0,170,,,,,,Public Onsite,Constructed
POINT (-73.80652538334539 40.74032378304514),146904,1393d,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROWB,Constructed (Full Maintenance),1037864.31,209055.74,Queens,Combined,TI-010,Flushing Creek,4067390045,0,407,20,25,13,4,52,Standard,No Tree,N/A,GCTI10-4B,Package-2,Right of Way (ROW),Constructed
POINT (-73.8267203656684 40.76058728789102),143665,208A,GQTI22-02,1,ROW,DDC TI-022,ROWB,Constructed (Full Maintenance),1032253.4241,216426.6583,Queens,Combined,TI-022,Flushing Creek,4049800046,0,407,20,40,10,5,50,Standard,No Tree,N/A,GCTI11-01,1,Right of Way (ROW),Constructed
POINT (-73.86469760576021 40.855922260873335),181523,RG01,XG-413M,3,ROW,St. Mary's GIGP - EFC Grant - OGI-2 Wallace Ave. & Pelham Parkway S.,ROWRG,Constructed,1021679,251142,Bronx,Combined,HP-007,Bronx River,2043210021,0,211,13,80,20.5,5,103,,Quercus bicolor,Swamp White Oak,,,External,Constructed
POINT (-73.77809037877313 40.73353101247023),184151,IB236B,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1045750.27,206599.61,Queens,Combined,TI-010,Flushing Creek,4071810060,4071810058,408,23,0,13,4,52,Standard,No Tree,N/A,GCTI10-02,Package-1,Right of Way (ROW),Constructed
POINT (-73.77041670372812 40.75123336372369),186800,IB1212A,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1047860.0523,213054.59866,Queens,Combined,TI-010,Flushing Creek,4073850028,0,411,23,0,17,4,68,Type C - SW Chamber,No Tree,N/A,GCTI10-02,Package-2,Right of Way (ROW),Constructed
POINT (-73.86427040354168 40.69455062255154),113335,IB1350A,GK26W5-05,2,ROW,EDC 26W-005 Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1021888.276,192349.129,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4088450030,4088450029,409,32,38,11,5,55,Standard,No Tree,N/A,53320022-02,3,Right of Way (ROW),Constructed
POINT (-73.8166869265177 40.783913057692736),164589,21067B,GQTI03-01,1,ROW,DDC TI-03-23 Phase 1,ROWB,Constructed (In Guarantee),1035015.186,224930.6544,Queens,Combined,TI-003,East River / Open Waters,4046500023,0,407,19,27,13,4,52,Type DA,Celtis occidentalis 'Magnifica',Magnifica Hackberry,GQTI03-23,1,Right of Way (ROW),Constructed
POINT (-73.92793390102209 40.70015107586486),119700,425f,GKNC15-02,4,ROW,EDC NCB-015 (English Kills) Phase 4,ROWB,Constructed (Full Maintenance),1004232.5,194368.6,Brooklyn,Combined,NCB-015,Newtown Creek,3031960010,0,304,34,53,10,4,40,Type A - Stone Columns,No Tree,N/A,GKNC15-02,Phase-4-Stage-1,Right of Way (ROW),Constructed
POINT (-73.83059387777779 40.74871003819287),188106,IB2162c,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1031188.72,212097.3,Queens,Combined,TI-010,Flushing Creek,4051180018,4051180016,407,20,0,10,4,40,Standard,No Tree,N/A,GCTI10-4A,Package-2,Right of Way (ROW),Constructed
POINT (-73.87592188880673 40.66622454290498),171503,IB2551b,GK26W5-04,1,ROW,EDC 26W-005 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1018671.9,182024.34,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3044770001,0,305,42,60,15,6,90,Type C - SW Chamber,No Tree,N/A,53320022-04,3,Right of Way (ROW),Constructed
POINT (-73.8955711490733 40.82006426474952),149670,BK_3,GXHP25-03,GR,Onsite,Banana Kelly,Detention System,Constructed,1013153.96276,238065.91894,Bronx,Combined,HP-025,East River / Open Waters,2027110010,0,202,17,85,0,0,100,,,,,,Incentivized,Constructed
POINT (-73.82786539871977 40.763973563850506),142361,1062A,GQTI11-03,1,ROW,DDC TI-011,ROWB,Constructed (Full Maintenance),1031933.793,217659.7624,Queens,Combined,TI-011,Flushing Creek,4050100020,0,407,20,40,13,5,65,Type A - Stone Columns,No Tree,N/A,GCTI11-01,2,Right of Way (ROW),Constructed
POINT (-73.9671353520505 40.68006537271896),104615,301D,OGI-DESIGN-1,1,ROW,OGI Design Area 1 (RH-034),ROWB,Constructed (Full Maintenance),993365.4613,187044.2805,Brooklyn,Combined,RH-034,Gowanus Canal,3011300075,0,308,35,44,12,6,72,Standard,No Tree,N/A,GKRH34-02-GKOH07-02,Stage-1,Right of Way (ROW),Constructed
POINT (-73.80636360577262 40.75638108657119),108086,2321a,GQTI10-01,1,ROW,DDC TI-010 Phase 1,ROWB,Constructed (Full Maintenance),1037896.20851,214906.01627,Queens,Combined,TI-010,Flushing Creek,4054390046,0,407,20,40,13,5,65,Type A - Stone Columns,No Tree,N/A,GCTI10-1B,Package-2,Right of Way (ROW),Constructed
POINT (-73.8325638234302 40.753846973680204),143804,321A,GQTI22-02,1,ROW,DDC TI-022,ROWB,Constructed (Full Maintenance),1030639.3146,213967.7986,Queens,Combined,TI-022,Flushing Creek,4051010001,0,407,20,40,10,5,50,Standard,No Tree,N/A,GCTI11-01,1,Right of Way (ROW),Constructed
POINT (-73.7813382997807 40.753141321847),103036,1519A,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROWB,Constructed (Full Maintenance),1044832.30492,213741.98492,Queens,Combined,TI-010,Flushing Creek,4056180048,0,411,20,25,17,5,85,Standard,Maackia amurensis 'Starburst',Starburst Amur Maackia,GCTI10-02,Package-2,Right of Way (ROW),Constructed
POINT (-73.9086846735987 40.64140667221336),181597,IB4155B,GKCI05-03,3,ROW,EDC CI005 Phase 3,ROW Infiltration Basin with Concrete Top,In Construction,1009592.238,172971.3326,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3079930001,0,318,46,59,15,4,60,Type A - Stone Columns,No Tree,N/A,GKCI05-3A,3,Right of Way (ROW),In Construction
POINT (-73.89604114874199 40.66771241913515),118362,410,GK26W3-03,2,ROW,EDC 26W-003 (Fresh Creek) Phase 2,ROWB,Constructed (Full Maintenance),1013089.75,182559.15,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3037700001,0,305,42,60,20,5,100,Type C - SW Chamber,Quercus macrocarpa,Bur Oak,GK26W3-03,1,Right of Way (ROW),Constructed
POINT (-73.93570016859096 40.69547142802923),157995,490c,GKNC15-02,2,ROW,EDC NCB-015 (English Kills) Phase 2,ROWB,Constructed (Full Maintenance),1002080.32,192661.99,Brooklyn,Combined,NCB-015,Newtown Creek,3015890060,0,303,36,56,10,5,50,Standard,Zelkova serrata,Japanese Zelkova,GKNC15-02,Phase-2-Stage-2,Right of Way (ROW),Constructed
POINT (-73.94219881957362 40.66587009794504),181628,IB1034A,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1000285.36293,181876.11746,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3012930001,0,309,35,43,16,4,64,Type C - SW Chamber,No Tree,N/A,GKCI05-1A,1,Right of Way (ROW),Constructed
POINT (-73.90799057240197 40.641916283592415),174577,4175A,GKCI05-03,3,ROW,EDC CI005 Phase 3,ROWB,In Construction,1009784.673,173157.1992,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3079940069,0,318,46,59,11,4,44,Standard,No Tree,N/A,GKCI05-3A,3,Right of Way (ROW),In Construction
POINT (-73.89655244698187 40.67882598223626),117816,56a,GK26W3-03,2,ROW,EDC 26W-003 (Fresh Creek) Phase 2,ROWB,Constructed (Full Maintenance),1012943.12661,186607.96743,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3034860007,0,305,37,54,11,4,44,Standard,No Tree,N/A,GK26W3-03,3,Right of Way (ROW),Constructed
POINT (-74.07498759132496 40.583644246117494),187238,OceanBreeze2,R149-109M,1,Onsite,Ocean Breeze Park Sitework around Indoor Athletic Facility,Permeable Pavers,Constructed,963421.09168,151922.68027,Staten Island,MS4,OB-679,East River / Open Waters,5033550001,0,502,50,0,0,0,"5,400",,,,,,External,Constructed
POINT (-73.9248225740721 40.74546678549913),148815,5018A,GQBB26-01,1,ROW,DDC BB Cluster (BB-026),ROWB,Constructed (Full Maintenance),1005081.04,210879.23,Queens,Combined,BB-026,Newtown Creek,4001900020,0,402,26,37,14,5,70,Type C - SW Chamber,No Tree,N/A,GCBB26-01,GCBB26-01,Right of Way (ROW),Constructed
POINT (-73.81617252687269 40.72215178416192),187721,IB680d,GQTI10-04,4,ROW,DDC TI-010 Phase 4,ROW Infiltration Basin with Grass Top,Constructed (Full Maintenance),1035204.86,202429.37,Queens,Combined,TI-010,Flushing Creek,4066870110,0,408,24,0,13,4,52,Standard,No Tree,N/A,GCTI10-4B,Package-1,Right of Way (ROW),Constructed
POINT (-73.90710156761324 40.69034448293637),126384,0426a,GKNC15-02,1,ROW,EDC NCB-015 (English Kills) Phase 1,ROWB,Constructed (Full Maintenance),1010012.68,190801.21,Brooklyn,Combined,NCB-015,Newtown Creek,3034300008,0,304,37,54,10,4,40,Standard,Ginkgo biloba,Ginkgo Tree,GKNC15-02,Phase-1-Stage-1,Right of Way (ROW),Constructed
POINT (-73.89436092444936 40.73756126182371),182833,IB545A,GQBB05-02,2,ROW,OGI BB-005 (GI-DCM-TOC) Phase 2,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),1013525.18,208007.71,Queens,Combined,BB-005,East River / Open Waters,4024350028,0,402,26,30,20,5,100,Standard,No Tree,N/A,BB05-01-A,1,Right of Way (ROW),Constructed
POINT (-73.92150521341183 40.66580574967536),133009,400B,GK26W3-03,1,ROW,EDC 26W-003 (Fresh Creek) Phase 1,ROWB,Constructed (Full Maintenance),1006026.26,181857.14,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3035090059,0,316,41,55,20,5,100,Type A - Stone Columns,Metasequoia glyptostroboides,Dawn Redwood,GK26W3-03,1,Right of Way (ROW),Constructed
POINT (-73.79637163677351 40.77299067374898),107248,2002a,GQTI10-01,1,ROW,DDC TI-010 Phase 1,ROWB,Constructed (Full Maintenance),1040650.37275,220963.69789,Queens,Combined,TI-010,Flushing Creek,4049250083,0,407,19,26,13,6,78,Standard,Acer rubrum,Red Maple,GCTI10-1B,Package-2,Right of Way (ROW),Constructed
POINT (-73.94865650991316 40.65947639743719),172207,IB2084DA,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),998495.21817,179545.59741,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3048090031,3048090030,309,40,43,20,4.5,90,Type C - SW Chamber,No Tree,N/A,GKCI05-1A,1,Right of Way (ROW),Constructed
POINT (-73.80061384240116 40.763944471481096),106830,1551b,GQTI10-01,1,ROW,DDC TI-010 Phase 1,ROWB,Constructed (Full Maintenance),1039482.88321,217665.17156,Queens,Combined,TI-010,Flushing Creek,4052890020,0,407,19,26,20,4,80,Type C - SW Chamber,No Tree,N/A,GCTI10-1A,Package-1,Right of Way (ROW),Constructed
POINT (-73.91357743225277 40.6652442215548),133038,427A,GK26W3-03,1,ROW,EDC 26W-003 (Fresh Creek) Phase 1,ROWB,Constructed (Full Maintenance),1008225.81,181654.63,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3035390051,0,316,41,55,20,5,100,Standard,Quercus bicolor,Swamp White Oak,GK26W3-03,2,Right of Way (ROW),Constructed
POINT (-73.84422927565397 40.82695679552313),114749,044b,GXHP12-02,1,ROW,EDC HP-012,ROWB,Constructed (Full Maintenance),1027359.96,240598.22,Bronx,Combined,HP-012,Westchester Creek,2037000046,0,209,18,87,12,5,60,Standard,No Tree,N/A,GXHP12-01-GXHP16-01,Stage-4,Right of Way (ROW),Constructed
POINT (-73.93664133202797 40.65507494006411),173716,5027E,GKCI05-01,1,ROW,EDC CI005 Phase 1,ROWB,Constructed (Full Maintenance),1001829.98082,177944.20695,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3048480027,0,317,40,43,13,4,52,Type C - SW Chamber,No Tree,N/A,GKCI05-1A,2,Right of Way (ROW),Constructed
POINT (-73.93234529326938 40.667936082070625),175325,1001a,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROWB,Constructed (In Guarantee),1003018.37361,182630.77139,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3013960061,0,309,35,43,10,5,50,Standard,Platanus x acerifolia,London Planetree,GKCI05-2A,1,Right of Way (ROW),Constructed
POINT (-73.87885792266233 40.65856857886154),100758,2322f,GK26W4-01,1,ROW,EDC 26W-004,ROWB,Constructed (Full Maintenance),1017861.24,179233.92,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,3044010001,0,305,42,60,14,4,56,Standard,Koelreuteria paniculata,Panicled Goldenraintree,53320022-04,4,Right of Way (ROW),Constructed
POINT (-73.88897359508817 40.72853129709544),158301,111A,GQBB05-02,2,ROW,OGI BB-005 (GI-DCM-TOC) Phase 2,ROWB,Constructed (Full Maintenance),1015022.31,204719.66,Queens,Combined,BB-005,East River / Open Waters,4028020022,0,405,30,30,10,4,40,Type A - Stone Columns,No Tree,N/A,BB05-01-A,1,Right of Way (ROW),Constructed
POINT (-73.85138812417188 40.67431512885866),173672,GS628a,GK26W5-06,3,ROW,EDC 26W-005 Phase 3,ROWGS,Constructed (Full Maintenance),1025473.08,184982.56,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4113470032,0,410,32,23,13,3.5,45.5,,No Tree,N/A,53320022-03,1,Right of Way (ROW),Constructed
POINT (-73.85908794374048 40.66960223259882),134459,GS1476a,GK26W5-06,3,ROW,EDC 26W-005 Phase 3,ROWGS,Constructed (Full Maintenance),1023340.01,183261.99,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,3044950001,0,305,42,60,10,3.5,35,,No Tree,N/A,53320022-03,3,Right of Way (ROW),Constructed
POINT (-73.87838108734697 40.735944451879554),160189,0017C,OGI-DESIGN-2,3,ROW,OGI Design Area 2 (BB-006),ROWB,Constructed (Full Maintenance),1017954.4,207424.4,Queens,Combined,BB-006,Flushing Bay,4028640036,0,404,30,30,20,5,100,Type A - Stone Columns,Liquidambar styraciflua,Sweetgum,OGI-DESIGN-2-GQBB06-03-01,Stage-1,Right of Way (ROW),Constructed
POINT (-73.85609357883722 40.81422050746529),187210,PugsleyC1,X088-111M,1,Onsite,Pugsley Creek Park Basketball Court Construction,Permeable Pavers,Constructed,1024084.10884,235952.31927,Bronx,MS4,OVERLAND FLOW ER,East River / Open Waters,2034780018,0,209,18,0,0,0,"1,271",,,,,,External,Constructed
POINT (-73.8586681336645 40.67681244394501),133944,835a,GK26W5-06,3,ROW,EDC 26W-005 Phase 3,ROWB,Constructed (Full Maintenance),1023452.23,185889.06,Queens,Combined,26W-005,Jamaica Bay and Tributaries,4091340081,0,410,32,23,13,4,52,Type D,No Tree,N/A,53320022-03,2,Right of Way (ROW),Constructed
POINT (-73.94148385036102 40.67774513427674),128194,1-312a,GKNC14-05,1,ROW,DDC NCB-014,ROWB,Constructed (Full Maintenance),1000480.8215,186202.662,Brooklyn,Combined,NCB-014,East River / Open Waters,3012030034,0,308,36,56,13,5,65,Standard,Betula nigra,River Birch,GNCB14-1A,Package-2,Right of Way (ROW),Constructed
POINT (-73.87903641868371 40.76555522582213),110632,665-1A,GQBB05-05,5,ROW,OGI BB-005 (GI-DCM-TOC) Phase 5,ROWB,Constructed (Full Maintenance),1017757.88993,218212.29846,Queens,Combined,BB-005,East River / Open Waters,4011010171,0,403,22,35,13,5,65,Standard,No Tree,N/A,BB05-02-A,1,Right of Way (ROW),Constructed
POINT (-73.83028019229134 40.76316749177109),142322,1030A,GQTI11-03,1,ROW,DDC TI-011,ROWB,Constructed (Full Maintenance),1031265.43,217364.779,Queens,Combined,TI-011,Flushing Creek,4049770026,0,407,20,40,12,5,60,Standard,No Tree,N/A,GCTI11-02,3,Right of Way (ROW),Constructed
